,$,CADENA,COMA,DEFINIR,DIFERENTE,DIV,FALSO,IDENTIFICADOR,IGUAL,IGUAL_IGUAL,IMPRIMIR,LLAVE_DER,LLAVE_IZQ,MAS,MAYOR,MAYOR_IGUAL,MENOR,MENOR_IGUAL,MENOS,MIENTRAS,MULT,NEGACION,NUMERO,O_LOGICO,PARA,PAR_DER,PAR_IZQ,POTENCIA,PUNTOYCOMA,RETORNAR,SI,SINO,VAR,VERDADERO,Y_LOGICO
exp_suma,,exp_mult exp_suma_resto,,,,,exp_mult exp_suma_resto,exp_mult exp_suma_resto,,,,,,,,,,,exp_mult exp_suma_resto,,,exp_mult exp_suma_resto,exp_mult exp_suma_resto,,,,exp_mult exp_suma_resto,,,,,,,exp_mult exp_suma_resto,
exp_suma_resto,,,ε,,ε,,,,,ε,,,,op_suma exp_mult exp_suma_resto,ε,ε,ε,ε,op_suma exp_mult exp_suma_resto,,,,,ε,,ε,,,ε,,,,,,ε
exp_unario,,primario,,,,,primario,primario,,,,,,,,,,,MENOS exp_unario,,,NEGACION exp_unario,primario,,,,primario,,,,,,,primario,
expresion,,exp_logico_and exp_logico_or_resto,,,,,exp_logico_and exp_logico_or_resto,exp_logico_and exp_logico_or_resto,,,,,,,,,,,exp_logico_and exp_logico_or_resto,,,exp_logico_and exp_logico_or_resto,exp_logico_and exp_logico_or_resto,,,,exp_logico_and exp_logico_or_resto,,,,,,,exp_logico_and exp_logico_or_resto,
funcion_def,,,,DEFINIR IDENTIFICADOR PAR_IZQ parametros PAR_DER bloque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lista_argumentos,,expresion lista_argumentos_cont,,,,,expresion lista_argumentos_cont,expresion lista_argumentos_cont,,,,,,,,,,,expresion lista_argumentos_cont,,,expresion lista_argumentos_cont,expresion lista_argumentos_cont,,,ε,expresion lista_argumentos_cont,,,,,,,expresion lista_argumentos_cont,
lista_argumentos_cont,,,COMA expresion lista_argumentos_cont,,,,,,,,,,,,,,,,,,,,,,,ε,,,,,,,,,
lista_sentencias,ε,,,sentencia lista_sentencias,,,,sentencia lista_sentencias,,,sentencia lista_sentencias,ε,,,,,,,,sentencia lista_sentencias,,,,,sentencia lista_sentencias,,,,,sentencia lista_sentencias,sentencia lista_sentencias,,sentencia lista_sentencias,,
mientras_sentencia,,,,,,,,,,,,,,,,,,,,MIENTRAS PAR_IZQ expresion PAR_DER bloque,,,,,,,,,,,,,,,
op_comp,,,,,,,,,,,,,,,MAYOR,MAYOR_IGUAL,MENOR,MENOR_IGUAL,,,,,,,,,,,,,,,,,
op_igualdad,,,,,DIFERENTE,,,,,IGUAL_IGUAL,,,,,,,,,,,,,,,,,,,,,,,,,
op_mult,,,,,,DIV,,,,,,,,,,,,,,,MULT,,,,,,,,,,,,,,
op_suma,,,,,,,,,,,,,,MAS,,,,,MENOS,,,,,,,,,,,,,,,,
para_inicio,,,,,,,,IDENTIFICADOR IGUAL expresion,,,,,,,,,,,,,,,,,,,,,,,,,VAR IDENTIFICADOR IGUAL expresion,,
para_sentencia,,,,,,,,,,,,,,,,,,,,,,,,,PARA PAR_IZQ para_inicio PUNTOYCOMA expresion PUNTOYCOMA IDENTIFICADOR IGUAL expresion PAR_DER bloque,,,,,,,,,,
parametros,,,,,,,,IDENTIFICADOR parametros_cont,,,,,,,,,,,,,,,,,,ε,,,,,,,,,
parametros_cont,,,COMA IDENTIFICADOR parametros_cont,,,,,,,,,,,,,,,,,,,,,,,ε,,,,,,,,,
primario,,CADENA,,,,,FALSO,IDENTIFICADOR primario_llamada_opcional,,,,,,,,,,,,,,,NUMERO,,,,PAR_IZQ expresion PAR_DER,,,,,,,VERDADERO,
